Country,Adult_Literacy_Rate,Tertiary_Education_Enrollment
Egypt,0.06890707282684276,0.049698768720997905
El Salvador,0.13312948564831206,0.0855485023054888
Eritrea,0.2183189861995129,0.1645314171433755
Estonia,0.37914532613524826,0.2591700108252339
Eswatini,0.06665593665202016,0.004459462247733483
Ethiopia,0.033462174666053175,0.058623663232765015
Fiji,0.025674328359008743,0.025740093072831784
Finland,0.4813889453482465,0.15183396466371765
France,0.12205365018160035,0.3701230816487461
Gabon,0.011504290694264086,0.0277148031237242
Gambia,0.005880296786395872,0.03661121694259318
Georgia,0.20396710946682348,0.05843444186055614
Germany,0.17594614038947268,0.2790165016333217
Ghana,0.03263794703824328,0.03298071160591487
Greece,0.04461576170187382,0.23463552378297448
Grenada,0.010469951372789025,0.04701248373415629
Guatemala,0.22648265734734746,0.09029089575004087
Guinea,0.7655167167940018,0.014066909598144552
Guinea-Bissau,0.42688028288869145,0.09075710503538763
Guyana,0.012997446004202964,0.24561427590583648
Haiti,0.02236107112671255,0.1645314171433755
Honduras,0.046733994849926214,0.051719641720802415
Hungary,0.1586064730369635,0.2796474477494742
Iceland,0.12750956994015772,0.8436080066422519
India,0.7796384984317701,0.2334296773279741
Indonesia,0.1327945988770524,0.14197219313503529
Iran,0.16785299885986152,0.012723261556349869
Iraq,0.02519019930444944,0.1645314171433755
Ireland,0.9265433585289378,0.7467227231036107
Israel,0.9999999999999999,0.5829709630957982
Italy,0.10355457157846186,0.156049079209997
Jamaica,0.03824991662372771,0.04137348359159715
Japan,0.09087194658931662,0.2743874617200016
Jordan,0.004637477116277412,0.0325762319941367
Kazakhstan,0.11035471969777833,0.5381439804777399
Kenya,0.22668750014696554,0.04754286704330557
Kiribati,0.04642870318772375,0.035901930245732884
Kuwait,0.7407099930887836,0.02790019597528415
Kyrgyzstan,0.043718809142497386,0.29030213239400326
Laos,0.12152574873226245,0.1138900008517798
Latvia,0.27318933627795466,0.28718315418226115
Lebanon,0.027835652130100107,0.0672475783092572
Lesotho,0.00048006350220749074,0.0011607243705005904
Liberia,0.16785299885986152,0.010061572914135765
Libya,0.5196526836691467,0.009451396522394451
Lithuania,0.17419056718044737,0.2251228860252051
Luxembourg,0.06839089374619779,0.09459121078933694
Madagascar,0.33755516724578954,0.007472265237633242
Malawi,0.5237343596872536,0.0830062184345081
Malaysia,0.15215508425698152,0.9286875718860061
Maldives,0.014913089968283708,0.0029620380128740106
Mali,0.6176637998308552,0.08564979645937265
Malta,0.025825821390857685,0.6763157242902251
Mauritania,0.03142649223459525,0.03674151812980802
Mauritius,0.06653762995293282,0.015857639005609013
Mexico,0.04640483414111335,0.27460528804869405
Moldova,0.41697362319739106,0.04090605073466457
Mongolia,0.059674411342439386,0.4816374900017553
Montenegro,0.112827162847636,0.1249681216771573
Morocco,0.1467973616321407,0.08488404933060897
Mozambique,0.018162362889510116,0.04286549479498666
Myanmar,0.03535273992715948,0.04605204002669759
Namibia,0.031705121825438685,0.0010015272146044105
Nepal,0.2512210526889038,0.009652089636483
Netherlands,0.14660010376566376,0.3769435241988046
