Country,E-Government_Index,E-Participation_Index
Sri Lanka,0.6426452743696913,0.411
Sudan,0.20363129746977668,0.0685
Suriname,0.6087928632421015,0.2877
Sweden,0.9414408341198149,0.7945
Switzerland,0.9051840366725091,0.8219
Syria,0.33038964540919513,0.0685
Tajikistan,0.5234034425419083,0.274
Tanzania,0.3797806840142016,0.2877
Thailand,0.8318727248213563,0.7534
Timor-Leste,0.3452878522313604,0.3288
Togo,0.3340074603388612,0.4521
Tonga,0.4737876949350591,0.3288
Trinidad and Tobago,0.6770032807514269,0.3288
Tunisia,0.6727562806166015,0.4521
Turkmenistan,0.4280594130600872,0.0411
Uganda,0.39510583793986787,0.4384
Ukraine,0.8868927239225204,1.0
United Arab Emirates,0.9646532740101569,0.7808
United Kingdom,0.9696530493011551,0.9726
United States of America,0.9266437463484788,0.9452
Uruguay,0.9054536874747202,0.863
Uzbekistan,0.7923239404970565,0.6986
Vanuatu,0.5033593995775472,0.4658
Venezuela,0.49585411891600384,0.2192
Viet Nam,0.7597636061300617,0.6027
Yemen,0.15398184351265112,0.1507
Zambia,0.5029773942744147,0.411
Zimbabwe,0.39702709990562224,0.274
