Country,ICT_Goods_Imports,ICT_Service_Exports
Qatar,0.20645833653566356,0.11156339703997642
Republic of the Congo,0.057307896371630536,0.06210632556257308
Romania,0.3460941766913801,0.07465739327378788
Russia,0.32001764543194494,0.15228364482859394
Rwanda,0.0484542906524314,0.13051314232763803
Saint Kitts and Nevis,0.5508747235200586,0.13704532381908335
Saint Lucia,0.09292000902885658,0.04385884590987929
Saint Vincent and the Grenadines,0.2420577959426585,0.01725896776036051
Samoa,0.07571655799102177,0.13704532381908335
Sao Tome and Principe,0.09533855127802765,0.13704532381908335
Saudi Arabia,0.4396338351547568,0.09230577137203007
Senegal,0.09917141632325735,0.09435934213818577
Serbia,0.4363578396521976,0.15640742076915753
Seychelles,0.07950055848444985,0.03187026322475423
Sierra Leone,0.006452358521970114,0.13704532381908335
Singapore,0.5860210815392327,0.3571396557716177
Slovakia,0.31145815876288996,0.16129006099316032
Slovenia,0.4917588764758415,0.34698661605862074
Solomon Islands,0.26144282836169985,0.13704532381908335
South Africa,0.15874716300155595,0.10103094998312465
Spain,0.564858037403627,0.2371639515362452
Sri Lanka,0.1333595437024305,0.01578785422125793
Sudan,0.09862948911881408,0.03574774676406563
Suriname,0.030754616525136485,0.13704532381908335
Sweden,0.5008374684871041,0.5654854108272546
Switzerland,0.4420671241919246,0.5485492621463824
Syria,0.27580435939763054,0.010462552257799518
Tajikistan,0.20392768648944493,0.013230044895653808
Tanzania,0.026336141804779886,0.0839350633711307
Thailand,0.2733388850930567,0.19118329283890143
Timor-Leste,0.18085358746257293,0.13704532381908335
Togo,0.08572320264048468,0.030046347971812166
Tonga,0.3037603584345733,0.13704532381908335
Trinidad and Tobago,0.06448848359379691,0.00625889309290221
Tunisia,0.2267502389017224,0.12254682799998297
Turkmenistan,0.10493583452512725,0.02160241683333553
Uganda,0.023546609134571444,0.0500428533233017
Ukraine,0.45265287934707704,0.05264393120471784
United Arab Emirates,0.36482947621400935,0.24704403618288615
United Kingdom,0.4782427666026241,0.48042869210364203
United States of America,0.4734833960666099,0.5951090601163612
Uruguay,0.45560679211648136,0.1024671134104344
Uzbekistan,0.27133454123872247,0.01915111310063898
Vanuatu,0.024298761464388013,0.13704532381908335
Venezuela,0.46970964470586873,0.11313102883161144
Viet Nam,0.24951113547651066,0.06902089297562594
Yemen,0.05105775440225294,0.13704532381908335
Zambia,0.018865136608161536,0.0445993944897782
Zimbabwe,0.05350432360068621,0.13704532381908335
