Country,Adult_Literacy_Rate,Tertiary_Education_Enrollment
Maldives,0.979112138467307,0.18950505737955
Mali,38.1736778749972,5.479696587969
Malta,1.65251542048844,43.2692793209479
Mauritania,1.99812184858134,2.3506462344976
Mauritius,4.16476138725035,1.01453890078417
Mexico,2.92240599051662,17.5686775936758
Moldova,25.789480153901,2.61708440538272
Mongolia,3.74124560934214,30.8141690897359
Montenegro,7.02119779784845,7.99520160312392
Morocco,9.11743222959442,5.43070567261144
Mozambique,1.17961840629408,2.74244557815277
Myanmar,2.24040290360038,2.94631414241606
Namibia,2.01531553489841,0.0640756369249413
Nepal,15.5612136767327,0.617520704475872
Netherlands,9.10525983301044,24.1160659895902
New Zealand,7.28500561070959,12.9543076787783
Nicaragua,18.0938961122142,0.804653157141111
Niger,25.4590522387256,8.96675024256666
Nigeria,4.28453688122346,3.53042370294988
North Macedonia,20.9636612708518,6.3599119716616
Norway,7.98812436869198,26.259236068581
Oman,6.40546079760669,5.00539346096146
Pakistan,36.1601311600161,1.90280938998427
Palau,0.799749798945581,51.6836869301107
Panama,3.0318657512218,1.00049164015675
Papua New Guinea,0.146187964782598,40.0540621623383
Paraguay,0.627197050943787,10.5004049492786
Peru,2.25326346934085,5.01572012821525
Philippines,14.6860895821014,63.977928897569
Poland,15.486615880834,9.89435682053147
Portugal,8.39198080628629,6.68041454594646
Qatar,4.29634491383363,2.78003630297901
Republic of the Congo,5.46432892689928,4.32722654163177
Romania,25.7439640988509,12.6747408327123
Russia,7.00278726808368,9.72984772707015
Rwanda,3.07229949519383,4.78472979585672
Saint Kitts and Nevis,0.724171754896227,34.6026368990477
Saint Lucia,0.843906596374905,9.33224017462958
Saint Vincent and the Grenadines,1.76899782531243,4.93442861881868
Samoa,6.74463677303409,5.7420173193689
Sao Tome and Principe,1.89567748972604,29.2734328924522
Saudi Arabia,3.49360866932368,0.590629141767828
Senegal,8.67023419984249,1.60473886534447
Serbia,26.2535842010438,4.54619756956742
Seychelles,0.560583092295521,0.0384062538993691
Sierra Leone,0.378515121886121,0.736114020377876
Singapore,8.17163164446749,56.1383758562278
Slovakia,16.2066411565774,9.65058093359051
Slovenia,8.36068302333239,8.20345582131026
Solomon Islands,2.71584437796667,1.35922325473902
South Africa,9.37650031541184,5.70575841482322
Spain,11.1760599080496,9.56253561613111
Sri Lanka,16.9244189853004,1.41723845257758
Sudan,0.0588545658356921,2.20240348221045
Suriname,11.1359778744309,3.21274943551639
Sweden,21.3856970593815,17.6225666444459
Switzerland,11.2054955956156,29.2751803024228
Syria,1.91813899014712,1.38292716055376
Tajikistan,2.78930928483358,1.62712759033372
Tanzania,0.900310176616552,5.06811053608461
Thailand,0.818271995380878,28.3057768762254
Timor-Leste,1.91737688845179,10.52637930741514
Togo,6.92168773862945,0.573585599316818
Tonga,13.1558129410573,2.69650608767328
Trinidad and Tobago,5.43106111005038,1.96311662299562
Tunisia,4.64871425750887,7.70110744284105
Turkmenistan,10.416734362593235,10.52637930741514
Uganda,2.66313695721108,1.40810780488794
Ukraine,41.4648837489459,6.68812192869261
United Arab Emirates,10.416734362593235,9.61865772738817
United Kingdom,9.4887290749911,28.8917146113567
United States of America,6.88003911969008,24.322982844202
Uruguay,18.3939643143061,10.7072308737214
Uzbekistan,8.11660704896229,2.82239070122292
Vanuatu,8.2179112571746,10.52637930741514
Venezuela,4.98054474708171,10.52637930741514
Viet Nam,10.416734362593235,42.689178907016
Yemen,25.363345481351,4.82928415383478
Zambia,2.68120744982854,1.16356588883727
Zimbabwe,3.87019418654021,1.94218828246376
