Country,Adult Literacy Rate,Tertiary Education Enrollment
Kiribati,-0.6621984303892633,-0.6517678214346428
Kuwait,3.124127674087457,-0.6923127465442279
Kyrgyzstan,-0.6769770838155551,0.6372823763528582
Laos,-0.25264986837215225,-0.256600926947669
Latvia,0.5744612881227599,0.6214784601342783
Lebanon,-0.7635973239002513,-0.49293888382038026
Lesotho,-0.9127835123108259,-0.8278021088553101
Liberia,0.0,-0.7827013562664328
Libya,1.9185715494794662,-0.7857931305331882
Lithuania,0.03456250473717716,0.3070180144779761
Luxembourg,-0.5424256284534762,-0.3543882279677856
Madagascar,0.9254861962901394,-0.795821422777162
Malawi,1.9408313405499946,-0.4130895833922405
Malaysia,-0.08561000377123966,3.8719923730147925
Maldives,-0.8340716909352338,-0.818674821662254
Mali,2.453084077830708,-0.3996945280933762
Malta,-0.774558118471941,2.593219882615062
Mauritania,-0.7440143510873306,-0.6475136151923212
Mauritius,-0.5525325709578907,-0.7533325897382973
Mexico,-0.6623286024039561,0.5577461962040405
Moldova,1.358601962652842,-0.6264118568892596
Mongolia,-0.5899617573174207,1.606781922678953
Montenegro,-0.30008839694273703,-0.20046789827678832
Morocco,-0.11482883096716091,-0.4035745819591068
Mozambique,-0.8163514857948042,-0.6164833201499702
Myanmar,-0.7226022025140687,-0.6003370406796348
Namibia,-0.74249481929433,-0.8286087635810621
Nepal,0.45465525729104267,-0.7847762150739007
Netherlands,-0.11590459466700279,1.0762957981168506
New Zealand,-0.27677377135913084,0.19229060723338282
Nicaragua,0.678486924992667,-0.7699554265446791
Niger,1.3293996314514496,-0.12352177414944378
Nigeria,-0.5419471346670238,-0.5540758809969003
North Macedonia,0.9321090579418981,-0.32998194817431303
Norway,-0.21463402498324027,1.2460337033838738
Oman,-0.354505578385979,-0.4372590779296491
Pakistan,2.2751322300603958,-0.6829820498416519
Palau,-0.8499232525110462,3.259636391338785
Panama,-0.6526548428983735,-0.7544451251441484
Papua New Guinea,-0.9076832911315301,2.3385764313879105
Paraguay,-0.865173000687389,-0.0020571550452158412
Peru,-0.7214656202734575,-0.43644121149654114
Philippines,0.3773141414831469,4.233333672230721
Poland,0.44806250455230573,-0.050055837405029883
Portugal,-0.17894227829112655,-0.30459831851043784
