Country,Secure Internet Servers (alt),Telecommunication Infrastructure Index
Mexico,0.44964667227055405,0.4868398380019449
Moldova,0.4108086015966093,0.4126135995970091
Mongolia,0.5195551994836545,0.8979627826289694
Montenegro,0.7836540800664786,0.841935689611189
Morocco,0.8302597648752125,0.6866826828901942
Mozambique,-1.9350108671096533,-2.4798913357257777
Myanmar,-0.43197753202799166,-0.15005297179948848
Namibia,-0.2028329150517175,0.09186815191383903
Nepal,-0.5368403228476426,0.23290186882066605
Netherlands,1.0632881889188808,1.0297230496569916
New Zealand,1.0322177323797253,0.6483524233911331
Nicaragua,-0.443628953230175,-0.4632637414561298
Niger,-1.802961426818241,-2.1142855742538873
Nigeria,-1.181552296035125,-0.8557238682020594
North Macedonia,0.6826750963142225,0.19155773811099328
Norway,1.1409643302667705,1.0060757524660386
Oman,0.9972634687731747,1.0138036273650428
Pakistan,-1.6398415299876732,-0.8905765839965684
Palau,-1.655376758257251,-0.8270920917012486
Panama,0.3253648461139308,0.5691030663018446
Papua New Guinea,-1.7680071632116907,-2.00880008188248
Paraguay,0.329248653181325,0.3464629904615333
Peru,0.3836219521248479,0.5075891821057712
Philippines,0.5506256560228102,0.19484208494307015
Poland,0.6516046397750668,0.986562868346053
Portugal,0.6283017973706997,0.7453372533736361
Qatar,1.1681509797385319,1.1256646165281292
Republic of the Congo,-1.212622752574281,-1.6515790646760096
Romania,0.760351237662112,0.7234287280349593
Russia,0.8768654496839462,0.9511692013086138
Rwanda,-1.3757426494048488,-1.2853937125866943
Saint Kitts and Nevis,0.2632239330356194,0.627641718661802
Saint Lucia,0.018544087789767096,-0.21334426722233288
Saint Vincent and the Grenadines,0.2476887047660413,-0.10921115295825126
Samoa,-0.44751276029756953,-0.9442080357956577
Sao Tome and Principe,-0.31546332000615745,-0.8542169325967536
Saudi Arabia,1.179802400940715,1.0784086615207185
Senegal,-0.3504175836127077,0.10755573795881741
Serbia,0.612766569101122,0.8386513427791121
Seychelles,0.6904427104490116,0.7196420693344473
Sierra Leone,-1.9039404105704973,-1.7252643518380149
Singapore,0.95842539809923,1.093671214446252
Slovakia,0.7836540800664786,0.7476556158433375
Slovenia,0.8069569224708458,0.7948342921017582
Solomon Islands,-1.0533866628111075,-2.0244103891784686
South Africa,0.23603728356385797,0.7345568678895253
Spain,1.0011472758405695,0.986446950222568
Sri Lanka,-0.7154954479477882,0.34225129864157583
Sudan,-1.678679600661618,-1.027012215338488
Suriname,0.3409000743835089,0.6429429109618302
Sweden,1.0127986970427527,1.0887640138853838
Switzerland,1.0749396101210642,0.9758597616109324
Syria,-1.3563236140678765,-1.0141066642571508
Tajikistan,-0.49800225217369787,-0.4792604424970683
Tanzania,-1.5738168098419671,-1.2588871016831098
Thailand,0.7720026588642953,0.9118729574471772
Timor-Leste,-1.383510263539638,-1.3522011910885858
Togo,-1.2669960515178036,-1.7683472543999632
Tonga,-0.43197753202799166,-0.8755845066925002
Trinidad and Tobago,0.5855799196293606,0.26864329022856054
Tunisia,0.10787165033984045,0.5048071471421295
Turkmenistan,-1.8767537610987362,-0.7337393629212775
Uganda,-2.1097821851424046,-1.8358116022682702
Ukraine,0.4962523570792879,0.5323183817825846
United Arab Emirates,1.179802400940715,1.139806627593307
United Kingdom,1.0361015394471194,1.0419330919974186
United States of America,0.9118197132904962,0.9872583770869636
