Country,Mobile Subscriptions,Internet Users
Kuwait,-1.0166002424109146,0.6594908620674486
Kyrgyzstan,-0.6651253588675334,0.8950881475731345
Laos,-0.9251395408184561,0.10452791240663797
Latvia,0.5993844728590535,0.914066885754149
Lebanon,-0.6104497485404221,0.4631597075967193
Lesotho,-1.0573525080810693,-0.2560666151448521
Liberia,-1.064408375085739,-2.4620854196204824
Libya,-0.7898634351435466,-0.6166616419922913
Lithuania,0.7442023180885289,0.9101404224394406
Luxembourg,1.3973544134366551,0.0
Madagascar,-1.0752070571978045,-0.5525265785083038
Malawi,-1.0770312639027737,-1.1676976290424435
Malaysia,-0.23929749363005529,0.6594908620674486
Maldives,0.12940091233255432,0.781216217782979
Mali,-1.0320906086658825,-3.594350818131684
Malta,1.782491601830719,0.590120680595823
Mauritania,-1.0637264340955384,-1.2409947731247208
Mauritius,0.6586249021092794,0.4075326470225351
Mexico,0.24613502889814073,0.5940471439105388
Moldova,0.6917935906279981,0.8950881475731345
Mongolia,-0.14069067669962604,0.8558220165381777
Montenegro,0.9890373126254728,0.8545133618652555
Morocco,-0.6635099460485118,-0.5610345814181071
Mozambique,-1.0693825785630693,-1.696482991581302
Myanmar,-0.9011444821650667,0.20138483496908036
Namibia,-0.8544851234360721,0.414076918979037
Nepal,-0.7695649999774979,-0.9667854342725694
Netherlands,1.7167752885923449,0.0
New Zealand,1.3319033461957976,0.0
Nicaragua,-0.7308688436471167,-0.21650290372643133
Niger,-1.0786745210821198,-3.1297005190768137
Nigeria,-1.0788603485463313,-1.4899726906714783
North Macedonia,0.7294908693482193,0.764200711259315
Norway,1.872047707772717,0.0
Oman,-0.3783510904744752,0.7249345802243582
Pakistan,-0.9944386158476762,-1.8273704278951215
Palau,-0.6077468271315826,0.7249345802243582
Panama,0.09099199800923999,0.6594908620674486
Papua New Guinea,-1.068292223430839,-1.0378781867558617
Paraguay,-0.25266330413906113,0.5940471439105388
Peru,-0.407942192734007,0.5286034257536291
Philippines,-0.6591230360261705,0.7903782983812679
Poland,0.6072448115659471,0.9081771907820827
Portugal,1.7715841688596718,0.7105368823424887
Qatar,-0.3290670902529813,0.7903782983812679
Republic of the Congo,-1.0001472272673988,-0.3476879204237139
Romania,1.160230961071413,0.8558220165381777
Russia,0.5115362923644793,0.9212657346950874
Rwanda,-1.0533532453799768,-0.453052346600017
Saint Kitts and Nevis,1.9419303239964736,0.0
Saint Lucia,-0.20415563366639627,0.0
Saint Vincent and the Grenadines,0.8905792922302355,0.7183903082678563
Samoa,-1.0254064742226106,0.8623662884946796
Sao Tome and Principe,-0.9203521740340106,0.5122424962144017
Saudi Arabia,1.7367528407955442,0.7903782983812679
Senegal,-0.9544763950852465,-1.8489669747179294
Serbia,0.9437190635375802,0.8558220165381777
Seychelles,0.9085836729884944,0.6725794059804532
Sierra Leone,-1.0820310526208594,-2.4399236697874747
Singapore,0.6766810381841271,0.7903782983812679
Slovakia,1.0638949086563085,0.0
Slovenia,1.003308841174779,0.8950881475731345
Solomon Islands,-1.0752537016768797,-0.5839397829138364
South Africa,-0.8618518458110018,0.2668285531259901
