Country,ICT_Goods_Imports,High-Tech_Exports,ICT_Service_Exports
Jamaica,-0.5614997583289959,-0.41110605525776917,-0.8792587580368045
Japan,0.667208132747397,0.6967927647179061,2.92615243298637
Jordan,-0.3478957031599102,-0.354867536477278,-0.1572864615204605
Kazakhstan,0.4067222509275223,-0.19036986904434144,-0.7839530812235284
Kenya,-1.070902859710133,-0.4097000922882568,-0.02840301287590466
Kiribati,0.010468608620560142,-0.42375972198337963,-1.263258728543176e-16
Kuwait,0.5684766737348644,-0.4293835738614288,-0.8375682163351011
Kyrgyzstan,0.3903405362873992,0.20611168835812096,-0.8817620111004618
Laos,-0.9316218276291611,-0.031496053489454036,-0.9064076755856763
Latvia,1.5257132509842748,0.5730680234008255,-0.07951492035657827
Lebanon,0.5237428735831559,-0.31550057333093423,-1.263258728543176e-16
Lesotho,-1.0980712217655688,-0.3745510180504499,-0.8905802856629145
Liberia,-1.0487309114212038,-1.2487459684183104e-16,-1.263258728543176e-16
Libya,0.569866663417913,-0.4504730184041129,-1.263258728543176e-16
Lithuania,1.0622465612733933,-0.0005648681601838887,0.24974250867193154
Luxembourg,-0.7344933754883006,-0.27613361018459043,0.16251554302804572
Madagascar,-1.204719707187007,-0.4462551294955761,-0.9341141342824488
Malawi,-1.3833427967440401,-0.41813587010533054,-1.263258728543176e-16
Malaysia,-0.08408441850966737,4.07532178045591,0.13295440473206344
Maldives,0.19536667240755679,-0.4504730184041129,-1.263258728543176e-16
Mali,-1.2585112378019054,-0.43781935167850244,-0.7508077383286016
Malta,1.1171453278904502,3.1628518132424417,-0.2609893778351804
Mauritania,-1.2193874068203436,-0.4504730184041129,-0.9370270105169028
Mauritius,0.010468608620560142,-0.33659001787361836,-0.6823551494681779
Mexico,0.08131380589422799,1.4785081757667329,-0.6434636989037366
Moldova,0.5602250434607796,-0.4125120182272814,-0.694404901716318
Mongolia,0.6892252357195672,-0.4490670554346007,-0.8534411139385504
Montenegro,0.3632270906601429,-0.33940194381264294,-0.5352662717797799
Morocco,0.1232150099345747,-0.1186657575992153,-0.19723610130225935
Mozambique,-1.1759751117942627,-0.4462551294955761,-0.5980068837312044
Myanmar,-0.7550281335112641,-0.4265716479224042,-0.9215864899245941
Namibia,-0.4818070982673237,-0.42094779604435506,-0.213040694996748
Nepal,-0.8375792074579009,-0.42094779604435506,-0.6047656898925606
Netherlands,1.4633223013813588,0.6025932457605835,1.617588366252532
New Zealand,1.0653012760925982,-0.29862901769678685,0.7191024877792235
Nicaragua,-0.46093155789772855,-0.4462551294955761,-0.8263946056263966
Niger,-1.2630441428098342,-0.430789536830941,-1.263258728543176e-16
Nigeria,-1.0309925678316219,-0.43781935167850244,-0.6249737451245678
North Macedonia,0.2984672836727369,-0.3618973513248394,-0.49915114579587855
Norway,1.7286436498256263,-0.38439275883703583,0.8235905641823518
Oman,0.054977469120037925,-0.3787689069589867,-0.5307035333598553
Pakistan,-1.0499678035465132,-0.4392253146480147,-0.7622999536676329
Palau,-0.2976797042212126,-0.4462551294955761,-1.263258728543176e-16
Panama,0.4596573949534171,2.0549529932667667,-0.7689449397617559
Papua New Guinea,-1.347877000479916,-0.4490670554346007,-0.9126885620851631
Paraguay,-0.19587034958561975,-0.4392253146480147,-0.8127177418540357
Peru,0.8799804385971863,-0.44203724058703925,-0.7645414951794088
Philippines,0.04516745104812242,6.679165199992649,-0.5819860776879353
Poland,1.0100205781358258,0.45918502287033097,0.705607663207195
Portugal,1.0185773610024662,0.010682835595914283,0.9877470093456833
Qatar,-0.28266627025735336,-0.4504730184041129,-0.17422888287350913
Republic of the Congo,-1.0778213178005667,-0.43781935167850244,-0.5123842503384359
Romania,0.4617642724594105,-0.052585498032138196,-0.4265681923475746
Russia,0.32274433104620115,-0.37736294398947445,0.10418975257914129
Rwanda,-1.1250219111668096,-0.3281542400565447,-0.04466281901864178
Saint Kitts and Nevis,1.5534961189789582,3.271110961894887,-1.263258728543176e-16
Saint Lucia,-0.887965014983571,0.3410841334312997,-0.6371486774049415
Saint Vincent and the Grenadines,-0.09287742480607539,-0.3928285366541095,-0.819021386432659
Samoa,-0.9796805400122099,-0.4448491665260638,-1.263258728543176e-16
Sao Tome and Principe,-0.875071214100316,-0.44203724058703925,-1.263258728543176e-16
Saudi Arabia,0.9604455468212026,-0.3942344996236218,-0.3059000330187767
Senegal,-0.8546373355015368,-0.39142257368459726,-0.2918590484578148
Serbia,0.9429804668876539,-0.24942031376385715,0.13238545699244122
Seychelles,-0.9595071694948568,-0.44344320355655154,-0.7191188277225634
Sierra Leone,-1.348943800390691,-0.44766109246508834,-1.263258728543176e-16
Singapore,1.7408693774887676,4.144213965962012,1.5048622466933101
Slovakia,0.27711175348362305,1.0229761736447547,0.16576978303166226
Slovenia,1.2383360422449898,-0.14537905401994858,1.4354423483355365
Solomon Islands,0.010468608620560142,-0.4490670554346007,-1.263258728543176e-16
South Africa,-0.5370254288232452,-0.3506496475687412,-0.24624292249253263
Spain,1.628044357681252,-0.2578560915809308,0.6845462202760939
